freq,unit,indic,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PC,INV_TOT,LU	19.18 	18.45 	19.15 	17.31 	17.28 	17.81 	16.20 	18.08 	16.69 	18.18 	17.51 	: 
A,PC,INV_TOT,LV	26.03 	24.28 	22.80 	21.86 	19.31 	20.60 	22.12 	22.03 	22.43 	22.37 	21.75 	: 
A,PC,INV_TOT,MT	17.61 	16.52 	16.66 	24.20 	22.68 	19.91 	19.31 	19.85 	20.16 	20.32 	25.26 	: 
A,PC,INV_TOT,NL	18.59 	18.20 	17.39 	21.81 	19.29 	19.76 	19.95 	20.91 	21.27 	20.69 	20.47 	20.10 
A,PC,INV_TOT,NO	22.31 	23.43 	23.71 	23.69 	25.06 	24.36 	23.77 	26.63 	27.44 	23.20 	19.67 	: 
A,PC,INV_TOT,PL	19.58 	18.97 	20.13 	20.42 	18.47 	17.57 	18.74 	18.92 	18.31 	16.81 	16.81 	: 
A,PC,INV_TOT,PT	15.82 	14.75 	15.03 	15.52 	15.49 	16.78 	17.52 	18.11 	19.21 	20.20 	20.08 	19.40 
A,PC,INV_TOT,RO	27.53 	24.70 	24.36 	24.79 	22.95 	22.41 	21.05 	22.61 	23.84 	: 	: 	: 
A,PC,INV_TOT,RS	20.21 	16.47 	15.95 	16.97 	17.06 	17.74 	20.04 	22.46 	21.44 	23.27 	24.16 	: 
A,PC,INV_TOT,SE	22.26 	21.97 	22.69 	23.24 	23.85 	24.57 	24.59 	23.82 	24.52 	25.05 	25.55 	25.06 
A,PC,INV_TOT,SI	19.03 	19.63 	19.11 	18.65 	17.38 	18.32 	19.33 	19.58 	18.90 	20.24 	21.62 	: 
A,PC,INV_TOT,SK	20.37 	20.46 	20.48 	23.68 	21.03 	21.10 	20.90 	21.49 	19.49 	19.22 	20.37 	21.97 
A,PC,INV_TOT,TR	26.68 	28.00 	28.46 	29.32 	28.90 	29.65 	29.67 	25.89 	26.73 	28.05 	29.00 	: 
A,PC,INV_TOT,UK	15.71 	15.96 	16.63 	17.23 	17.71 	18.00 	17.80 	18.04 	: 	: 	: 	: 
